5,ghost,9568274,1551930
5,which,11659,28473
5,sheep,1062311,27050
5,spoke,134145,20427
5,their,67316,21514
5,massa,750997,40234
5,shall,189734,41466
5,shall,143731,36258
5,after,74695,32181
5,ocean,8216143,34864
5,which,4732,17281
5,being,90461,48844
5,great,103220,25300
5,midst,34390,22167
5,march,359154,20029
5,odour,948109,24260
5,comes,9622,19134
5,earth,78703,16095
5,about,181651,48438
5,whale,96229,19353
5,often,15490,16551
5,there,1506,16240
5,shall,94456,15791
5,light,28631,14543
5,large,112716,15562
5,times,125670,47398
5,queen,1355859,20176
5,glory,284108,15777
5,there,1975,15512
5,cross,244182,15412
5,moved,47541,16324
5,shall,114031,15253
5,build,140113,18125
5,first,22591,14183
5,spoke,29432,14238
5,which,1259,13926
5,about,98518,14442
5,women,48277,14108
5,realm,2739409,24555
5,fancy,183354,26781
5,bring,7922,18387
5,above,13362,35164
5,tower,101424,18640
5,again,40325,16837
5,words,3985,15761
5,house,61641,22139
5,henry,14235213,50745
5,mercy,144308,31985
5,teach,743454,36348
5,serve,36419,27979
5,eglon,3620318,57176
5,wound,49248,68304
5,death,17841,29831
5,jakeh,3807848,51276
5,their,56958,32147
5,house,112762,31363
5,young,75808,28576
5,first,5097,26911
5,aloft,17078185,41475
5,feast,140914,33506
5,began,7797,23054
5,forth,17287,21850
5,would,15055,24047
5,spoke,48736,20578
5,heels,746030,30847
5,tribe,317809,24874
5,earth,25591,21850
5,great,16965,20941
5,these,13351,21177
5,south,135925,20110
5,their,43779,20663
5,house,89967,19914
5,shall,37505,24975
5,raise,114691,19665
5,women,94869,20157
5,enemy,960814,44055
5,among,54727,49867
5,began,6538,23633
5,jacob,120895,24515
5,other,3494,22440
5,SK2Hb,10354094,28372
5,2sh44,19718834,42220
5,3Gbd6,25406564,37579
5,ULSAU,13262196,43950
5,wX8ay,17288934,59998
5,LfBem,15005696,42307
5,hzki1,31851329,40162
5,pXmjI,15206099,38069
5,nFEyD,17208448,29399
5,TJjPX,6235057,23140
5,cernF,11225050,27753
5,5jIlX,7760950,26922
5,ydHY8,14651528,51630
5,bVsYJ,18849738,67326
5,OtmQw,13633690,33582
5,17npN,11711451,29671
5,dSXkK,21453516,44780
5,7sE9h,10249347,31511
5,yC8I0,16535429,48189
5,KCEz2,7442986,32733
6,mother,18926,17288
6,regard,7911,16071
6,little,38458,34959
6,people,33890,23058
6,behold,11346,15228
6,placed,12710,17110
6,steady,4298328,48771
6,pequod,4042935,33332
6,craved,2116642,45483
6,rather,47344,16630
6,mortar,53376,20622
6,prince,102830,23127
6,people,39604,21372
6,wrongs,2573338,31585
6,heaven,15258,16446
6,feared,111811,15669
6,things,17332,15057
6,seemed,136514,12593
6,ground,12311,11921
6,looked,39293,11876
6,months,148549,12376
6,nicely,5814382,22936
6,before,3769,10288
6,armour,1714143,18292
6,things,16134,33610
6,misery,162763,14724
6,mighty,24608,36089
6,horror,55121,18470
6,colder,5436381,29993
6,hearer,331140,16678
6,placed,24222,10544
6,follow,14051,9962
6,throat,941109,45047
6,longer,204126,11229
6,regard,5881,9895
6,nation,28315,19525
6,wraths,4107118,41308
6,hamlet,10021771,26970
6,wounds,1361854,24094
6,fought,294997,16624
6,prince,42772,11603
6,unless,128301,12807
6,little,38954,11480
6,places,83507,12138
6,shaken,2156230,27708
6,machir,237074,16378
6,before,3385,11350
6,speedy,3789434,25913
6,throat,1034231,21024
6,number,8328,11132
6,though,8104,12053
6,people,21209,10147
6,coming,21422,10227
6,needle,7126540,43403
6,object,424107,29803
6,spirit,20404,22069
6,friend,161574,35901
6,either,112072,13519
6,shadow,115789,11807
6,amalec,116191,11197
6,pitied,938362,14182
6,dinner,2718556,23572
6,saying,19001,10548
6,pharao,41873,10371
